Body,Jobs
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0
Lol no. U can trust me.,0
ok. I am a gentleman and will treat you with dignity and respect.,0
"He will, you guys close?",0
Going on nothing great.bye,0
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0
"Haha awesome, be there in a minute",0
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,0
Have you got Xmas radio times. If not i will get it now,0
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0
Hi :)finally i completed the course:),0
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0
Gud mrng dear hav a nice day,0
Did u got that persons story,0
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,0
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0
"Found it, ENC  &lt;#&gt; , where you at?",0
I sent you  &lt;#&gt;  bucks,0
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0
Goodmorning sleeping ga.,0
U call me alter at 11 ok.,0
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
"Aight yo, dats straight dogg",0
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0
Both :) i shoot big loads so get ready!,0
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0
Home so we can always chat,0
K:)k:)good:)study well.,0
Yup... How ü noe leh...,0
Sounds great! Are you home now?,0
Finally the match heading towards draw as your prediction.,0
Tired. I haven't slept well the past few nights.,0
Easy ah?sen got selected means its good..,0
I have to take exam with march 3,0
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0
Ok no prob. Take ur time.,0
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0
"Sorry, I'll call later",0
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",0
Would really appreciate if you call me. Just need someone to talk to.,0
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0
Hey company elama po mudyadhu.,0
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0
Dear good morning now only i am up,0
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0
Dear we are going to our rubber place,0
"Sorry battery died, yeah I'm here",0
Yes:)here tv is always available in work place..,0
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,0
I have printed it oh. So  &lt;#&gt;  come upstairs,0
Or ill be a little closer like at the bus stop on the same street,0
Where are you?when wil you reach here?,0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,0
Tomarrow final hearing on my laptop case so i cant.,0
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
U don't remember that old commercial?,0
Too late. I said i have the website. I didn't i have or dont have the slippers,0
I asked you to call him now ok,0
Kallis wont bat in 2nd innings.,0
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,0
Ranjith cal drpd Deeraj and deepak 5min hold,0
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0
What you doing?how are you?,0
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0
"I'm back, lemme know when you're ready",0
Don't necessarily expect it to be done before you get back though because I'm just now headin out,0
Mmm so yummy babe ... Nice jolt to the suzy,0
Where are you lover ? I need you ...,0
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,0
I‘m parked next to a MINI!!!! When are you coming in today do you think?,0
Yup,0
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,0
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,0
Why you Dint come with us.,0
Same. Wana plan a trip sometme then,0
"Not sure yet, still trying to get a hold of him",0
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,0
The evo. I just had to download flash. Jealous?,0
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,0
"Come to mu, we're sorting out our narcotics situation",0
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,0
"Usf I guess, might as well take 1 car",0
No objection. My bf not coming.,0
Thanx...,0
Tell rob to mack his gf in the theater,0
"Awesome, I'll see you in a bit",0
Just sent it. So what type of food do you like?,0
All done? All handed in? Celebrations in full swing yet?,0
You got called a tool?,0
"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",0
Ok. I asked for money how far,0
Okie...,0
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",0
"K, I might come by tonight then if my class lets out early",0
Ok..,0
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",0
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0
Hey you told your name to gautham ah?,0
Haf u found him? I feel so stupid da v cam was working.,0
Oops. 4 got that bit.,0
Are you this much buzy,0
I accidentally deleted the message. Resend please.,0
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,0
Unless it's a situation where YOU GO GURL would be more appropriate,0
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,0
I cant pick the phone right now. Pls send a message,0
"Dear John Smith,

Thank you for applying to the Business Analyst position at Wayne Enterprises. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Jane Clark
HR Manager",1
"Dear Chris Anderson,

Thank you for applying to the Product Manager position at Umbrella Corp. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Taylor Johnson
Hiring Manager",1
"Dear Alex Brown,

We are excited to offer you the Accountant position at Hooli. Please find the details of the offer attached. Let us know if you have any questions and confirm your acceptance by 8/4/2024.

Best regards,
Chris Davis
Recruiter",1
"Dear Casey Martinez,

We are pleased to invite you to an interview for the Project Manager position at TechCorp. The interview will be held on 23/1/2024 at 15:00 via Google Meet. Please let us know if you are available.

Best regards,
Jane Davis
HR Manager",1
"Dear Sam Garcia,

We are pleased to invite you to an interview for the Business Analyst position at Hooli. The interview will be held on 9/3/2024 at 11:00 via In-person at our office. Please let us know if you are available.

Best regards,
Taylor Lee
Recruiter",1
"Dear Alex Smith,

Thank you for applying to the Data Scientist position at Wayne Enterprises. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Sam Lee
Recruiter",1
"Dear John Anderson,

Thank you for applying to the Marketing Specialist position at Initech. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Taylor Brown
Recruiter",1
"Dear Alex Clark,

Thank you for applying to the Accountant position at Globex. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Jane Brown
HR Manager",1
"Dear Jane Johnson,

We are pleased to invite you to an interview for the Business Analyst position at Hooli. The interview will be held on 5/6/2024 at 12:00 via In-person at our office. Please let us know if you are available.

Best regards,
John Martinez
Recruiter",1
"Dear Morgan Brown,

Thank you for applying to the Sales Representative position at TechCorp. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Jane Clark
Hiring Manager",1
"Dear Chris Garcia,

We are excited to offer you the Project Manager position at Stark Industries. Please find the details of the offer attached. Let us know if you have any questions and confirm your acceptance by 1/8/2024.

Best regards,
Riley Martinez
HR Manager",1
"Dear Alex Anderson,

We are pleased to invite you to an interview for the Product Manager position at Wayne Enterprises. The interview will be held on 3/6/2024 at 9:00 via Google Meet. Please let us know if you are available.

Best regards,
Alex Martinez
HR Manager",1
"Dear Casey Lee,

We are excited to offer you the Product Manager position at Hooli. Please find the details of the offer attached. Let us know if you have any questions and confirm your acceptance by 2/5/2024.

Best regards,
Chris Smith
HR Manager",1
"Dear Chris Brown,

We are pleased to invite you to an interview for the Software Engineer position at Wayne Enterprises. The interview will be held on 3/3/2024 at 12:00 via In-person at our office. Please let us know if you are available.

Best regards,
Taylor Anderson
Recruiter",1
"Dear Taylor Taylor,

Thank you for taking the time to interview for the Accountant position at Innovatech. We wanted to follow up regarding the next steps in the process and will update you by 12/5/2024.

Best regards,
Chris Davis
HR Manager",1
"Dear Taylor Brown,

We are excited to offer you the UX Designer position at Innovatech. Please find the details of the offer attached. Let us know if you have any questions and confirm your acceptance by 6/9/2024.

Best regards,
Jordan Clark
Recruiter",1
"Dear Jane Garcia,

Thank you for applying to the Data Scientist position at Hooli. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Taylor Taylor
HR Manager",1
"Dear Chris Johnson,

Thank you for applying to the Data Scientist position at Cyberdyne. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Sam Brown
HR Manager",1
"Dear Jane Lee,

Thank you for applying to the UX Designer position at Globex. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Chris Taylor
Hiring Manager",1
"Dear Jane Garcia,

Thank you for applying to the HR Coordinator position at TechCorp. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Sam Lee
HR Manager",1
"Dear Alex Davis,

We are pleased to invite you to an interview for the Software Engineer position at Acme Inc.. The interview will be held on 16/2/2024 at 15:00 via In-person at our office. Please let us know if you are available.

Best regards,
Jane Brown
HR Manager",1
"Dear Taylor Martinez,

Thank you for applying to the Project Manager position at Innovatech. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Jordan Lee
Hiring Manager",1
"Dear Jane Johnson,

Thank you for your interest in the Data Scientist position at TechCorp. After careful consideration, we regret to inform you that we have chosen another candidate for this role. We encourage you to apply for future opportunities with us.

Best regards,
Riley Martinez
HR Manager",1
"Dear John Davis,

Thank you for taking the time to interview for the Project Manager position at TechCorp. We wanted to follow up regarding the next steps in the process and will update you by 11/7/2024.

Best regards,
Sam Anderson
Hiring Manager",1
"Dear Jane Clark,

We are pleased to invite you to an interview for the Marketing Specialist position at Acme Inc.. The interview will be held on 13/4/2024 at 13:00 via Zoom. Please let us know if you are available.

Best regards,
Jordan Clark
HR Manager",1
"Dear Alex Martinez,

Thank you for applying to the Data Scientist position at Initech. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Casey Lee
Hiring Manager",1
"Dear John Lee,

Thank you for your interest in the Software Engineer position at Hooli. After careful consideration, we regret to inform you that we have chosen another candidate for this role. We encourage you to apply for future opportunities with us.

Best regards,
Casey Martinez
Hiring Manager",1
"Dear John Martinez,

Thank you for applying to the Marketing Specialist position at Cyberdyne. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Jane Taylor
HR Manager",1
"Dear Casey Clark,

We are pleased to invite you to an interview for the Project Manager position at Acme Inc.. The interview will be held on 10/3/2024 at 15:00 via Google Meet. Please let us know if you are available.

Best regards,
Taylor Johnson
HR Manager",1
"Dear Jane Johnson,

Thank you for applying to the Marketing Specialist position at TechCorp. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
Casey Smith
Recruiter",1
"Dear John Davis,

Thank you for taking the time to interview for the HR Coordinator position at Hooli. We wanted to follow up regarding the next steps in the process and will update you by 14/9/2024.

Best regards,
Chris Garcia
HR Manager",1
"Dear Morgan Johnson,

Thank you for applying to the Business Analyst position at Globex. We have received your application and will review it shortly. If your qualifications match our needs, we will contact you for the next steps.

Best regards,
John Taylor
HR Manager",1
